objid,ra,dec,redshift,radius,magnitude,baryonic_density_proxy,Delta,KK_Mass_eV
1237648675066871814,238.927393458291,0.746777900443245,0.09314138,3.197459,17.21646,12.700067560222863,1.0142544760042551,1.9212964291635472e-21
1237648675066806831,238.777866841587,0.718735356552512,0.1261999,6.236354,17.61072,2.3219372618665557,0.18543486085265293,1.8463613051100705e-21
1237648675066675633,238.539949001507,0.676397181793762,0.09369648,6.043297,16.44567,7.23076293802297,0.5774641465518928,1.88143398842283e-21
1237648675066675556,238.489209902353,0.688089521656516,0.03862771,8.962883,15.14973,10.844575221205874,0.8660709013015578,1.9076790958364294e-21
1237648675066610330,238.422446301658,0.822925978150095,0.1023336,6.050228,17.47754,2.7889486473187834,0.2227313859139384,1.849669682923415e-21
1237648675066609956,238.336501002084,0.807810286228758,0.05060026,6.036284,16.60542,6.255941382114612,0.49961281846272676,1.8744164459229624e-21
1237648675066544505,238.278166201511,0.7876223145267,0.1470251,4.737492,17.56752,4.186923450842151,0.33437663465699813,1.8596086183037634e-21
1237648675066544427,238.230969159316,0.71802539011305,0.03243349,5.089744,15.09598,35.33589712268701,2.8220000917603194,2.0954576354424645e-21
1237648675066413595,237.999355574593,0.745651711654001,0.1474556,6.79746,17.3115,2.5745817043776826,0.2056115847511212,1.8481503403640833e-21
1237648675066413501,238.011714757674,0.788583455140193,0.07185507,3.847562,17.01295,10.579100584324623,0.8448695307225742,1.9057387035893778e-21
1237648675066413487,238.003071747069,0.758657852541501,0.1468357,4.393578,17.37054,5.836430497864847,0.4661097847138764,1.8714045337712665e-21
1237648675066413307,237.87689968214,0.701514951462916,0.09346591,3.746374,17.20943,9.311201785852997,0.7436124291069907,1.8964986369928592e-21
1237648675066282315,237.692819788096,0.810659827157736,0.09428345,2.612975,17.55178,13.96424599768193,1.1152144616563648,1.930629780855324e-21
1237648675066282222,237.616092886261,0.695606045183674,0.09455504,4.432102,17.23353,6.506815712176362,0.5196481774065366,1.8762199340913556e-21
1237648674534523444,249.281420163556,0.358810227814254,0.09109787,2.710397,17.4831,13.825924599272346,1.1041678198334903,1.929606357376004e-21
1237648674534523043,249.263575207041,0.398719940585717,0.09087101,3.78391,16.67372,14.949628606305705,1.1939092179349584,1.9379362327979457e-21
1237648674534458101,249.191922587659,0.324507333080295,0.07305734,5.952384,15.84227,12.993020352427925,1.037650310659698,1.9234552571305177e-21
1237648674534457650,249.207487914143,0.336393142407853,0.09114194,7.481665,17.47537,1.8274919957219085,0.14594740758137892,1.842865030495952e-21
1237648674534392523,249.03885394328,0.341973637230789,0.1198782,3.422773,17.5934,7.832200652000002,0.6254962448495075,1.885776715335114e-21
1237648674534261345,248.685871081048,0.402134430433048,0.02563905,6.380689,16.18217,8.267931036042242,0.6602946024369957,1.8889292001918354e-21
1237648674533933886,247.997225554971,0.356590585647082,0.07103826,2.608642,17.25228,18.461162089485615,1.4743477696249572,1.964199257638196e-21
1237648674533802793,247.714426695328,0.358623079703779,0.1137488,4.909279,17.11691,5.904737174035589,0.47156490152476144,1.871894616987478e-21
1237648674533802695,247.680226633073,0.36007377705015,0.08640919,3.001187,17.64503,9.714084720933458,0.7757875193790238,1.899429860620079e-21
1237648674533802532,247.622396114807,0.378066915902782,0.090957,5.256633,16.96859,5.904031769248005,0.47150856639427413,1.871889555229801e-21
1237648674533737231,247.541113944907,0.380771040518926,0.1141032,4.715726,16.5098,11.193937396018981,0.8939717095350974,1.9102356452233345e-21
1237648674533475041,246.940180172031,0.343592116043874,0.07244121,4.524673,16.84342,8.942472307675617,0.7141649067294358,1.893819865704629e-21
1237648674533278744,246.524214588162,0.352322009003514,0.05213557,9.959353,17.35489,1.1523429479358929,0.09202856498941395,1.8381016700161452e-21
1237648674533146986,246.103358895581,0.343913360053928,0.08681176,3.620541,17.00818,11.9999948640488,0.9583451777067544,1.9161472614379425e-21
1237648674533081773,246.069140019244,0.342807654585309,0.1430058,6.208457,17.05389,3.9127008522928004,0.31247663320572105,1.857654824688567e-21
1237648674533081304,246.046899645392,0.330435876010692,0.1428142,3.446497,17.36015,9.576001168699985,0.7647598724589384,1.8984247070621183e-21
1237648674533016415,245.945747755447,0.37572428165697,0.08613547,4.845384,17.10369,6.135749183050013,0.4900140131568497,1.8735530212372532e-21
1237648674533016287,245.92621322349,0.360456537252182,0.08598141,11.44504,15.27786,5.910461194440108,0.4720220339997262,1.8719356912214273e-21
1237648674533016216,245.894634003586,0.344116123192335,0.05745585,4.645872,17.08536,6.787682498892828,0.5420787978923939,1.878241091265438e-21
1237648674532950654,245.735550388043,0.323819539578355,0.1208128,4.091287,16.64948,13.076397326535252,1.04430897359854,1.9240701221168606e-21
1237648674532753564,245.256648962239,0.405248344023297,0.08695956,8.713544,15.80259,6.288894987302335,0.5022445636407452,1.8746532442285463e-21
